latitude,	longitude,	depth, salinity
38.4494466	-123.126897	466	0
38.4494488	-123.1268981	478	0
38.449453	-123.1268989	511	0.07
38.4494545	-123.1268998	519	0.19
38.4494554	-123.1269003	524	0.07
38.4494585	-123.1269019	565	0
38.4494644	-123.1269041	637	0
38.449468	-123.1269055	662	0.32
38.4494681	-123.1269035	689	0.07
38.4494686	-123.1269016	687	0
38.449469	-123.1269011	699	0
38.4494702	-123.1269002	725	0
38.449473	-123.1268992	745	0
38.449474	-123.1268992	760	0.13
38.4494776	-123.1268996	809	0.07
38.4494792	-123.1269002	825	0.07
38.4494799	-123.1269004	818	0
38.4494807	-123.1269005	811	0.07
38.4494814	-123.126901	819	0
38.4494834	-123.1269014	821	0.07
38.4494845	-123.1269016	834	0.13
38.4494889	-123.1269032	884	0.07
38.4494913	-123.1269046	907	0
38.4494949	-123.1269069	944	0
38.449496	-123.1269079	956	0
38.4494999	-123.1269115	946	0
38.4495028	-123.1269141	979	0
38.4495038	-123.1269149	976	0.07
38.4495054	-123.1269163	968	0
38.44951	-123.1269148	1032	0.13
38.4495106	-123.126914	1048	0
38.4495121	-123.126912	1086	0.07
38.4495137	-123.1269113	1115	0.07
38.4495155	-123.1269113	1172	0.07
38.4495182	-123.1269124	1223	0.13
38.4495246	-123.1269168	1318	0.13
38.4495389	-123.1269197	1536	0.13
38.4495519	-123.1269193	1729	0.07
38.4495647	-123.126919	1954	0.07
38.4495787	-123.1269208	2142	0.25
38.4495905	-123.1269244	2293	0.32
38.4496005	-123.1269281	2390	0.19
38.4496326	-123.1269402	2755	0.19
38.4496513	-123.1269454	3014	0.25
38.4496904	-123.1269539	3573	0.5
38.449703	-123.1269566	3750	0.5
38.4497181	-123.1269598	3932	0.25
38.4497394	-123.1269646	4202	0.19
38.4497542	-123.1269679	4348	0.07
38.4497818	-123.1269738	4640	0.19
38.4498027	-123.126979	4838	0.19
38.4498197	-123.1269831	5013	0
38.4498301	-123.1269858	5096	0.07
38.449853	-123.1269918	5267	0.07
38.4498657	-123.1269949	5337	0.5
38.4498994	-123.1270021	5525	0.07
38.449912	-123.1270046	5566	0.25
38.4499205	-123.1270062	5611	0.07
38.4499315	-123.1270095	5673	0.19
38.4499353	-123.1270097	5691	0.5
38.449936	-123.1270095	5686	0.38
38.4499368	-123.1270086	5712	0.13
38.4499374	-123.1270041	5767	0.13
38.4499326	-123.1269925	5785	0.13
38.4499285	-123.1269775	5841	0.25
38.4499271	-123.1269602	5951	0
38.4499271	-123.1269386	6047	0.38
38.449927	-123.1269248	6134	0.07
38.4499273	-123.1269055	6230	0.25
38.4499284	-123.1268697	6439	0.19
38.4499279	-123.1268293	6678	0
38.4499278	-123.1267994	6753	0.19
38.4499275	-123.1267581	6697	0.25
38.4499275	-123.1267203	6614	0.25
38.4499271	-123.1267093	6599	0
38.449927	-123.1266958	6594	0
38.4499274	-123.1266631	6580	0
38.4499281	-123.126644	6566	0.44
38.4499281	-123.1266302	6486	0.19
38.4499279	-123.126606	6370	0.19
38.4499275	-123.1265895	6259	0.07
38.449927	-123.1265708	6072	0
38.4499268	-123.126557	5931	0.07
38.4499274	-123.1265131	5544	0
38.4499276	-123.1264889	5364	0.5
38.449928	-123.1264757	5284	0.07
38.4499279	-123.1264492	5126	0
38.4499275	-123.1264247	4971	0.5
38.4499275	-123.1264058	4803	0
38.4499277	-123.1263811	4672	0.07
38.4499279	-123.1263675	4604	0.07
38.4499279	-123.1263566	4556	0.19
38.4499286	-123.1263266	4423	0.19
38.4499291	-123.1263075	4358	0.07
38.4499293	-123.1262935	4301	0.07
38.449929	-123.1262693	4190	0.07
38.4499291	-123.1262558	4140	0.19
38.4499291	-123.1262317	4068	0.38
38.449929	-123.1262152	4039	0.19
38.4499287	-123.1262018	3991	0
38.4499286	-123.1261775	3914	0.07
38.4499284	-123.1261692	3884	0.19
38.4499288	-123.1261474	3800	0.07
38.4499299	-123.1261017	3661	0.19
38.4499297	-123.1260881	3621	0
38.4499295	-123.1260719	3587	0
38.4499296	-123.1260418	3470	0.38
38.4499296	-123.1260307	3421	0.25
38.4499298	-123.1260113	3370	0.19
38.4499296	-123.1259949	3322	0.07
38.4499293	-123.1259814	3279	0.5
38.4499286	-123.1259569	3199	0.25
38.4499281	-123.1259377	3123	0.19
38.4499284	-123.1259267	3074	0.25
38.4499276	-123.1259048	3040	0.25
38.4499275	-123.1258886	3045	0
38.4499272	-123.1258805	3032	0
38.4499269	-123.1258723	3008	0
38.4499268	-123.1258507	2977	0
38.4499269	-123.1258379	2951	0
38.449927	-123.1258337	2926	0.07
38.4499292	-123.1258221	2867	0.25
38.4499312	-123.1258221	2846	0
38.4499321	-123.1258227	2850	0.07
38.4499352	-123.1258266	2858	0.25
38.4499483	-123.1258453	2838	0.19
38.4499629	-123.1258588	2797	0
38.4499871	-123.1258734	2692	0.13
38.4499946	-123.1258785	2657	0.07
38.4500265	-123.1258994	2542	0.19
38.4500398	-123.1259077	2489	0
38.4500534	-123.1259158	2420	0.19
38.4500631	-123.1259217	2373	0.25
38.4500824	-123.1259342	2321	0.19
38.4500901	-123.1259389	2294	0
38.450098	-123.1259438	2263	0.19
38.4501038	-123.1259474	2247	0
38.4501108	-123.1259524	2222	0.07
38.4501169	-123.1259612	2224	0.07
38.4501171	-123.1259716	2239	0
38.4501105	-123.1259927	2255	0.25
38.450108	-123.1260062	2299	0.19
38.4501057	-123.1260333	2392	0
38.4501056	-123.1260466	2425	0.19
38.4501061	-123.1260731	2472	0.07
38.4501066	-123.1260843	2471	0
38.4501077	-123.1261034	2494	0
38.4501087	-123.126123	2580	0
38.4501091	-123.1261474	2684	0
38.4501088	-123.1261716	2745	0.75
38.4501086	-123.126185	2795	0.25
38.450108	-123.1262064	2860	0
38.4501078	-123.126217	2890	0
38.4501071	-123.126258	3041	0
38.4501073	-123.1262908	3163	0.07
38.4501073	-123.1263157	3254	0
38.450107	-123.1263433	3373	0.13
38.4501066	-123.1263568	3412	0.19
38.450106	-123.1263841	3520	0
38.4501057	-123.1264088	3609	0.38
38.4501052	-123.1264363	3732	0.25
38.4501057	-123.1264724	3868	0.25
38.4501064	-123.1264892	3962	0.07
38.4501066	-123.1265079	4069	0.25
38.4501062	-123.1265356	4254	0
38.4501057	-123.1265824	4526	0.25
38.4501056	-123.1265906	4579	0
38.4501053	-123.1266179	4762	0
38.4501052	-123.1266499	5034	0.38
38.4501064	-123.1267015	5451	0.25
38.4501065	-123.126718	5617	0.07
38.4501067	-123.1267452	5768	0.13
38.4501069	-123.1267751	6019	0.19
38.4501059	-123.1268322	6192	0.19
38.4501058	-123.1268431	6247	0.5
38.4501056	-123.1268811	6251	0.07
38.4501056	-123.1268946	6238	0.32
38.4501052	-123.1269191	6235	0.19
38.4501054	-123.126941	6148	0
38.450106	-123.1269795	6196	0
38.450106	-123.1269897	6224	0
38.4501062	-123.1270054	6202	0.25
38.4501061	-123.1270132	6195	0.25
38.4501062	-123.1270326	6146	0.13
38.4501058	-123.1270627	6060	0.07
38.4501057	-123.127087	5954	0
38.450109	-123.1271069	5806	0
38.4501114	-123.1271078	5825	0
38.4501252	-123.1271073	5805	0.19
38.4501418	-123.127111	5780	0.25
38.4501566	-123.1271184	5778	0
38.4501637	-123.1271227	5748	0.25
38.4502248	-123.1271519	5673	0.13
38.4502493	-123.1271629	5578	0.13
38.4502613	-123.127169	5540	0.25
38.4502733	-123.127175	5518	0
38.4502876	-123.1271824	5437	0
38.450293	-123.1271858	5399	0.07
38.4502963	-123.1271866	5409	0.19
38.4502988	-123.1271813	5440	0
38.4502898	-123.1271553	5483	0
38.4502906	-123.1271381	5518	0.25
38.4502921	-123.1271206	5549	0
38.4502925	-123.127113	5577	0.25
38.4502926	-123.1270922	5622	0.13
38.4502912	-123.1270653	5673	0.07
38.4502899	-123.1270522	5686	0
38.4502882	-123.1270253	5680	0.38
38.4502881	-123.1269949	5731	0.07
38.4502886	-123.1269676	5681	0.25
38.4502888	-123.12694	5594	0
38.4502882	-123.1268988	5369	0.25
38.4502874	-123.1268688	5254	0.19
38.4502866	-123.1268522	5130	0.07
38.4502861	-123.1268355	5007	0
38.450286	-123.1268001	4827	0.25
38.4502867	-123.1267761	4610	0.25
38.4502875	-123.1267518	4505	0.38
38.4502871	-123.1267221	4318	0.07
38.4502867	-123.1267027	4146	0.13
38.4502866	-123.1266833	4012	0.07
38.4502871	-123.1266667	3901	0.19
38.4502866	-123.1266325	3718	0.13
38.4502866	-123.126614	3629	0.19
38.4502869	-123.1265923	3515	0
38.4502882	-123.1265602	3392	0
38.4502896	-123.1265327	3224	0.07
38.4502902	-123.1265054	3100	0.25
38.4502906	-123.1264673	2940	0.07
38.4502897	-123.1264487	2885	0.38
38.4502859	-123.1264026	2699	0.25
38.4502843	-123.1263909	2669	0
38.4502818	-123.1263729	2629	0.38
38.4502813	-123.1263617	2588	0.25
38.4502814	-123.1263419	2515	0.5
38.450283	-123.1263117	2380	0
38.4502845	-123.1262922	2305	0.07
38.4502859	-123.1262513	2169	0.07
38.4502849	-123.1262234	2128	0.38
38.450284	-123.1261929	2080	0
38.4502834	-123.1261707	2035	0.19
38.4502825	-123.126146	2000	0.07
38.450282	-123.1261301	1989	0.25
38.4502819	-123.1261164	1955	0.13
38.4502837	-123.1260795	1880	0.25
38.4502848	-123.126067	1823	0
38.4502886	-123.1260603	1786	0
38.4502903	-123.1260607	1781	0
38.4502917	-123.1260584	1796	0.32
38.4502937	-123.1260618	1804	0.19
38.4502957	-123.1260682	1810	0.32
38.4503001	-123.1260772	1828	0.32
38.4503118	-123.1260963	1846	0.07
38.4503161	-123.126102	1859	0
38.450325	-123.1261133	1873	0
38.450334	-123.1261253	1871	0
38.450361	-123.1261598	1864	0.19
38.4503752	-123.1261767	1859	0
38.4504023	-123.1262049	1849	0.44
38.4504215	-123.1262225	1840	0.07
38.4504458	-123.1262512	1844	0.25
38.4504603	-123.1262713	1848	0.07
38.4504654	-123.1262797	1858	0.07
38.4504726	-123.1263	1882	0.13
38.4504723	-123.1263243	1895	0.38
38.4504667	-123.1263547	1919	0.13
38.450462	-123.126411	2012	0
38.4504626	-123.1264268	2044	0
38.4504649	-123.1264529	2118	0.13
38.4504685	-123.1264846	2100	0.19
38.4504694	-123.1265036	2187	0.07
38.4504689	-123.1265634	2492	0.25
38.4504674	-123.1265931	2555	0.19
38.450467	-123.1266035	2589	0.38
38.4504667	-123.1266161	2643	0
38.4504669	-123.1266292	2696	0.25
38.4504672	-123.1266475	2782	0
38.4504675	-123.1266725	2877	0.19
38.4504676	-123.1266917	2963	0.38
38.4504672	-123.1267035	3008	0.13
38.450467	-123.1267213	3089	0.19
38.4504665	-123.1267444	3255	0.13
38.4504663	-123.1267611	3349	0.19
38.4504661	-123.1267946	3543	0
38.4504662	-123.1268077	3632	0.44
38.4504665	-123.1268571	3970	0
38.4504671	-123.1268739	4033	0.07
38.450467	-123.1268824	4076	0.19
38.4504669	-123.1268941	4108	0.13
38.4504665	-123.126908	4175	0
38.4504657	-123.1269213	4243	0
38.4504642	-123.1269471	4380	0.07
38.4504644	-123.1269627	4429	0.19
38.4504653	-123.1269874	4521	0.13
38.4504666	-123.1270039	4585	0
38.4504674	-123.1270126	4628	0
38.4504672	-123.1270268	4677	0.13
38.450467	-123.1270441	4757	0.19
38.4504662	-123.1270796	4875	0.25
38.450466	-123.1270931	4899	0.13
38.450465	-123.127149	4983	0.25
38.450465	-123.1271709	5033	0.19
38.4504655	-123.1271986	5116	0.07
38.4504673	-123.1272459	5200	0.19
38.4504655	-123.1273002	5298	0.38
38.4504653	-123.1273084	5320	0.19
38.4504653	-123.1273328	5350	0
38.4504653	-123.1273474	5360	0.13
38.450466	-123.1273733	5405	0
38.4504855	-123.127408	5368	0.44
38.450493	-123.1274115	5365	0.13
38.4505117	-123.1274171	5368	0.38
38.4505208	-123.1274219	5376	0.38
38.4505319	-123.1274314	5406	0.25
38.4505506	-123.1274558	5541	0.19
38.4505615	-123.1274689	5608	0
38.4505731	-123.1274817	5660	0.25
38.4505906	-123.1274985	5610	0
38.4506075	-123.1275137	5565	0.19
38.4506156	-123.1275211	5538	0
38.4506367	-123.127541	5439	0.25
38.4506458	-123.1275507	5378	0
38.4506538	-123.1275588	5311	0
38.4506569	-123.1275599	5281	0.38
38.4506592	-123.1275603	5284	0.07
38.4506603	-123.1275587	5283	0.07
38.4506594	-123.127555	5306	0.19
38.4506566	-123.127551	5333	0
38.4506541	-123.1275462	5372	0
38.4506503	-123.1275341	5391	0.25
38.4506486	-123.1275248	5410	0
38.4506476	-123.1275122	5411	0.44
38.4506479	-123.1274941	5406	0
38.4506483	-123.1274807	5415	0.19
38.4506496	-123.1274521	5462	0
38.4506506	-123.1273879	5509	0.25
38.4506504	-123.1273683	5440	0
38.4506499	-123.127344	5158	0.19
38.4506499	-123.1273194	4900	0
38.4506487	-123.1272918	4706	0.07
38.450648	-123.127278	4665	0.19
38.4506476	-123.1272697	4615	0.25
38.450646	-123.1272443	4505	0.38
38.4506445	-123.1272252	4461	0.19
38.4506431	-123.1272036	4396	0.25
38.450642	-123.1271752	4365	0.07
38.4506424	-123.1271538	4329	0
38.4506454	-123.1271218	4184	0.44
38.4506485	-123.1270694	3989	0.5
38.4506489	-123.1270585	3964	0.07
38.450649	-123.1270447	3956	0.19
38.4506485	-123.1270208	3863	0.38
38.4506474	-123.1269968	3742	0.13
38.4506475	-123.1269861	3727	0
38.4506474	-123.1269779	3693	0.38
38.4506468	-123.1269384	3477	0.25
38.4506479	-123.1269222	3386	0.07
38.4506498	-123.1268975	3267	0
38.4506505	-123.1268843	3209	0.5
38.4506502	-123.126871	3144	0.19
38.4506497	-123.1268553	3078	0
38.4506479	-123.126828	2967	0.19
38.4506466	-123.1268026	2816	0.25
38.4506469	-123.1267823	2736	0.38
38.4506474	-123.1267686	2656	0.07
38.4506488	-123.1267428	2546	0.5
38.4506484	-123.1267248	2496	0.5
38.4506484	-123.1267167	2465	0.07
38.4506479	-123.1266925	2282	0.19
38.4506478	-123.1266787	2227	0.13
38.4506471	-123.1266602	2182	0.07
38.4506478	-123.1266273	2067	0.5
38.4506487	-123.1265541	2009	0
38.4506474	-123.1265104	1973	0.25
38.4506493	-123.1264793	1877	0
38.4506505	-123.1264788	1878	0.07
38.4506516	-123.1264799	1925	0
38.4506547	-123.1264907	1960	0.25
38.4506604	-123.1265054	1970	0.25
38.450694	-123.12655	1998	0
38.4507259	-123.1265884	2056	0.07
38.4507517	-123.1266151	2102	0.25
38.4507587	-123.1266225	2103	0.19
38.4507689	-123.126634	2112	0.25
38.4507909	-123.1266598	2123	0
38.4508098	-123.1266834	2163	0.38
38.4508184	-123.1266949	2184	0.38
38.4508268	-123.1267069	2225	0
38.4508329	-123.1267227	2273	0.38
38.4508345	-123.1267367	2313	0
38.4508305	-123.1267698	2398	0
38.4508245	-123.1268097	2383	0.19
38.4508241	-123.1268578	2444	0
38.4508263	-123.1268907	2551	0.25
38.4508272	-123.1269237	2788	0.07
38.4508278	-123.1269544	2880	0.19
38.4508273	-123.1269746	2968	0.25
38.4508271	-123.1270082	3138	0.25
38.4508274	-123.1270214	3213	0
38.4508273	-123.1270372	3310	0.38
38.4508287	-123.1270672	3414	0
38.4508289	-123.1270886	3522	0.19
38.4508288	-123.1271154	3668	0.19
38.4508266	-123.1271543	3792	0.07
38.4508284	-123.1271974	3915	0.5
38.4508292	-123.127228	3944	0.25
38.4508284	-123.1272469	4000	0.38
38.4508266	-123.1272954	4197	0.13
38.4508265	-123.1273063	4270	0.07
38.4508267	-123.1273257	4356	0.25
38.450827	-123.1273953	4789	0.19
38.4508264	-123.1274289	4972	0.07
38.450825	-123.1274554	5017	0
38.4508253	-123.1274744	4989	0.38
38.4508256	-123.1274886	4974	0.25
38.4508271	-123.1275381	4926	0.25
38.4508271	-123.1275657	4936	0.07
38.4508267	-123.127593	4966	0.25
38.4508258	-123.1276124	4937	0
38.450826	-123.1276507	4933	0
38.4508261	-123.1276614	4926	0.44
38.4508258	-123.1276884	4871	0.25
38.4508266	-123.1277117	4830	0.19
38.4508316	-123.1277276	4793	0.07
38.4508407	-123.1277399	4769	0.25
38.4508644	-123.1277532	4753	0.19
38.4508778	-123.1277594	4721	0.25
38.4509057	-123.1277854	4680	0.38
38.4509276	-123.1278145	4636	0
38.4509399	-123.1278288	4624	0.07
38.4509577	-123.1278477	4582	0
38.4509988	-123.1278895	4553	0
38.45101	-123.1279016	4515	0
38.4510193	-123.1279074	4516	0.32
38.4510203	-123.1279074	4544	0.07
38.4510173	-123.1279015	4552	0.19
38.4510106	-123.1278836	4556	0.25
38.4510093	-123.1278741	4558	0.25
38.4510078	-123.1278275	4606	0.19
38.4510085	-123.1278086	4635	0.07
38.4510095	-123.1277846	4706	0
38.4510109	-123.127758	4716	0
38.4510116	-123.1277235	4734	0.13
38.4510102	-123.1276977	4741	0.07
38.4510088	-123.1276814	4785	0
38.4510079	-123.1276649	4792	0.19
38.4510072	-123.1276542	4802	0
38.4510072	-123.1276326	4832	0.5
38.4510072	-123.127613	4816	0.07
38.4510071	-123.1276	4832	0
38.4510075	-123.127545	4858	0
38.4510072	-123.1274407	4916	0
38.4510065	-123.1274303	4889	0
38.4510056	-123.1274145	4866	0.19
38.4510045	-123.1273986	4865	0.07
38.4510048	-123.127377	4822	0.07
38.4510063	-123.1273388	4676	0
38.4510065	-123.1273141	4538	0
38.4510071	-123.1272758	4379	0.07
38.4510065	-123.1272404	4199	0.07
38.4510066	-123.1272266	4129	0
38.4510077	-123.1271761	3903	0
38.4510086	-123.1271493	3803	0.07
38.4510088	-123.1271144	3661	0.19
38.4510084	-123.1270954	3528	0.25
38.4510083	-123.1270737	3402	0.07
38.4510084	-123.1270543	3303	0.13
38.4510088	-123.1270104	3102	0.25
38.4510098	-123.1269859	2935	0.13
38.4510126	-123.1269859	2915	0.07
38.4510131	-123.1269861	2956	0
38.4510139	-123.1269897	3001	0.07
38.4510346	-123.1270509	3301	0
38.4510522	-123.1270828	3425	0.25
38.4510586	-123.1270937	3449	0.75
38.4510674	-123.1271084	3460	0.07
38.4510884	-123.1271456	3584	0.19
38.4510944	-123.1271578	3644	0.13
38.4511091	-123.1271884	3795	0.25
38.4511452	-123.1272493	4016	0.19
38.4511656	-123.1272939	4167	0.19
38.4511726	-123.1273102	4248	0.38
38.4511862	-123.1273368	4307	0.07
38.4511897	-123.1273493	4339	0
38.4511915	-123.1273678	4393	0.07
38.4511912	-123.1273786	4454	0
38.4511876	-123.1274234	4674	0.38
38.4511864	-123.1274459	4748	0.38
38.4511839	-123.1274843	4858	0
38.4511837	-123.1275223	5004	0.38
38.4511844	-123.1275356	5047	0
38.4511859	-123.1275568	5062	0.13
38.4511867	-123.1275697	5091	0
38.4511871	-123.1275831	5135	0
38.4511874	-123.1275969	5155	0.19
38.451188	-123.1276302	5209	0.07
38.4511891	-123.1276818	5244	0.19
38.4511879	-123.1277306	5204	0.19
38.4511862	-123.1277812	5197	0.38
38.451187	-123.1278736	5150	0.5
38.4511874	-123.1279141	5135	0.19
38.4511872	-123.1279465	5145	0.19
38.4511873	-123.1279632	5138	0
38.4511867	-123.127997	5152	0.07
38.4511864	-123.128016	5108	0
38.4511872	-123.128046	5077	0.19
38.4511869	-123.1280669	5038	0.19
38.4512188	-123.1281484	5054	0.25
38.4512323	-123.1281599	5119	0.13
38.451248	-123.1281764	5155	0.07
38.4512566	-123.1281879	5215	0.38
38.4512626	-123.1281959	5252	0
38.4512701	-123.1282062	5296	0.19
38.4512836	-123.1282258	5369	0
38.4512956	-123.1282448	5439	0.19
38.4513084	-123.1282644	5533	0.07
38.4513303	-123.1282953	5637	0.07
38.4513709	-123.1283469	5743	0.07
38.451374	-123.1283509	5744	0
38.4513773	-123.1283519	5739	0.38
38.4513789	-123.128355	5735	0.19
38.4513721	-123.1283354	5761	0
38.4513669	-123.1282881	5772	0.38
38.4513667	-123.1282757	5791	0.38
38.4513667	-123.1282594	5802	0.07
38.4513671	-123.128246	5802	0.38
38.4513683	-123.1282306	5787	0.38
38.4513709	-123.1281975	5852	0.07
38.4513719	-123.1281722	5886	0.5
38.4513706	-123.1281487	5938	0.38
38.4513672	-123.1281257	6053	0.38
38.4513649	-123.1281142	6050	0.07
38.4513637	-123.1280985	5992	0.19
38.4513638	-123.1280903	6020	0.38
38.451364	-123.1280725	6047	0.19
38.4513646	-123.1280615	5961	0.07
38.4513653	-123.1280495	5913	0.07
38.4513658	-123.1280414	5890	0.25
38.4513674	-123.1280278	5839	0.19
38.4513689	-123.1280117	5749	0.19
38.4513697	-123.1279975	5623	0.25
38.45137	-123.1279714	5273	0.25
38.4513683	-123.1279518	5093	0.38
38.4513675	-123.1279314	5078	0.19
38.4513669	-123.1279047	5230	0.19
38.4513669	-123.127897	5223	0.5
38.4513673	-123.1278813	5085	0.19
38.451368	-123.1278494	4754	0.07
38.4513679	-123.1278388	4661	0.25
38.4513661	-123.1278149	4591	0.13
38.4513653	-123.127804	4588	0.19
38.4513651	-123.1277929	4565	0.07
38.451365	-123.1277845	4509	0.38
38.4513651	-123.1277661	4439	0.38
38.4513656	-123.1277524	4383	0.07
38.4513664	-123.1277385	4364	0
38.451367	-123.1277212	4271	0.38
38.4513677	-123.1277012	3908	0.32
38.4513682	-123.1276898	3728	0.07
38.4513693	-123.127659	3587	0.07
38.45137	-123.1276438	3532	0.38
38.4513693	-123.1276423	3562	0
38.451368	-123.1276436	3629	0.25
38.4513407	-123.1276442	3906	0.19
